x,x,x,16\,4\,x,x,x,x,6\,30\,x,x,x,x,x,x,x,x,x,16\,3\,35\,7\,x
x,7\,39\12,,,10\,x,x,3\7,,,x,x,x,x,x,x,x,16\,4\18,,,,,x
\22,,,,,,17\,\14,,,,x,10\,17\,22\,x,10\,6\33,,,,,,,x
\10,,,x,17\9,,,\10,,,,16\20,,,,\13,,,,,x,32\10,,,x
\11,,,15\20,,,,4\,3\,17\33,,,,,,17\6,,,x,x,\16,,,x,x
x,3\16,,,,,\13,,,,16\10,,,6\21,,,,,x,x,4\11,,,x,x
\9,,,,x,7\,23\18,,,,,24\3,,,4\9,,,x,x,\7,,,24\,x,x
\11,,,,8\11,,,x,24\,21\17,,,36\5,,,3\,x,x,x,\18,,,,4\,16\
x,x,\20,,,,,\8,,,\19,,,,,,3\,x,x,x,\21,,,,
x,16\,15\,6\13,,,,18\11,,,\17,,,39\,\3,,,7\,x,16\,35\,\19,,,
\14,,,,,18\,16\19,,,,4\,\3,,,x,\3,,,34\17,,,x,x,28\,16\
\13,,,,16\14,,,,\3,,,\9,,,x,x,22\26,,,,,17\,\16,,
x,16\33,,,,,,,24\7,,,\11,,,x,17\15,,,,4\14,,,7\15,,
\12,,,\8,,,17\15,,,,x,\10,,,\10,,,\31,,,,,,,16\
\11,,,x,\22,,,,,4\,x,\16,,,\13,,,23\17,,,,6\11,,,
x,4\,17\,7\,\15,,,\11,,,16\,\8,,,24\,\14,,,,23\,24\17,,,,
\12,,,,15\,x,x,x,\8,,,3\,7\9,,,\16,,,\17,,,,16\,x,x
\19,,,,,4\,x,x,x,\24,,,,,,16\11,,,\22,,,,,39\,16\
x,x,\6,,,,x,x,x,10\,17\3,,,11\16,,,4\,16\,3\14,,,\12,,,
x,x,x,15\5,,,x,x,7\11,,,8\3,,,16\19,,,,,x,11\,16\20,,,
x,x,\8,,,x,x,\15,,,,,4\10,,,29\13,,,,17\22,,,,,7\
x,x,23\5,,,x,3\,16\4,,,\24,,,,,,19\,3\,\20,,,,\13,,
x,\11,,,4\,16\16,,,,,\9,,,,\11,,,,\11,,,17\,3\6,,
x,\31,,,,,,,x,x,x,x,x,x,\19,,,,x,\25,,,,,
x,\17,,,,,x,x,x,x,x,x,x,x,\14,,,x,x,x,\10,,,x,x
