x,x,35\,11\,14\,x,x,35\,24\,13\,x,7\,7\,x,x,x,29\,12\,16\,x,7\,6\,32\,x,18\,6\,11\,25\,x
x,25\20,,,,12\,\16,,,,\9,,,45\,14\,\13,,,,\8,,,,\24,,,,,18\
\35,,,,,,3\13,,,,\11,,,,,6\8,,,,\11,,,,34\33,,,,,
\12,,,\21,,,,,,,19\,\28,,,,,,,,25\,\22,,,,,x,28\14,,
\7,,,28\,\22,,,,,,,21\,\35,,,,,,,,21\,3\16,,,x,29\12,,,
\24,,,,17\,24\,41\5,,,\4,,,10\17,,,x,23\,14\,4\19,,,,,,\12,,,,x
x,7\,12\32,,,,,,,\13,,,,,x,6\42,,,,,,,,,14\17,,,19\,14\
\42,,,,,,,,x,4\10,,,,,16\21,,,,,,,\29,,,,,,,
\8,,,,\7,,,26\,16\43,,,,,,,,,17\,\12,,,41\,\23,,,,,,
\4,,,x,29\18,,,,,,x,15\,23\26,,,,,,20\,\14,,,16\,15\,10\15,,,,
x,12\,6\,40\31,,,,,,x,13\12,,,,x,19\,29\11,,,22\,\20,,,,,,x,16\,14\
\19,,,,,\5,,,x,31\12,,,,x,15\34,,,,,,\28,,,,,x,28\8,,
\13,,,,,\8,,,37\27,,,,,32\23,,,,,,,32\7,,,,17\,29\11,,,
\21,,,,,\22,,,,,\25,,,,,,,25\,\45,,,,,,,,,,x
x,x,10\9,,,13\,\16,,,,\6,,,,x,\10,,,30\,\17,,,32\,\20,,,,,x
x,\11,,,,,10\,28\16,,,18\,\15,,,15\,7\9,,,,\24,,,,44\,\3,,,19\,13\
x,3\45,,,,,,,,,,6\,16\25,,,,,,,8\17,,,,,\29,,,,
\7,,,,x,3\15,,,,\34,,,,,,,\26,,,,,\10,,,\24,,,,
\4,,,x,22\12,,,,,\21,,,,,,x,45\20,,,,x,5\17,,,35\11,,,,
x,15\,13\,24\19,,,,,,20\,\6,,,15\,8\,3\20,,,,x,8\17,,,,,,x,17\,21\
\21,,,,,10\,22\,\16,,,32\,\29,,,,,,12\,30\,35\21,,,,,,x,15\17,,
\37,,,,,,,33\,\13,,,12\,8\42,,,,,,,,,x,39\17,,,11\24,,,
\30,,,,,,,,16\22,,,,,,,\23,,,,,x,39\36,,,,,,,
x,x,22\3,,,\37,,,,,,,,,x,26\14,,,,,\22,,,,,,,21\,16\
x,16\15,,,,\21,,,,,,11\,15\,14\,16\17,,,\16,,,22\15,,,10\,8\,\12,,,
\7,,,,x,7\6,,,23\,\40,,,,,,,,19\,\37,,,,,,,10\,\15,,
\5,,,14\,10\22,,,,,4\,\37,,,,,,,,17\,\39,,,,,,,11\4,,
\24,,,,,,\12,,,,\6,,,,\28,,,,,\8,,,,\17,,,,,
x,\24,,,,,\9,,,,\7,,,,x,x,\10,,,\13,,,,x,\7,,,,x
